"","GPD1","K245","K247","K250","K232","K251","K255","K241","K254","K257","TXN10-recipient","TXN10-donor","K269","K270","K260","K262","K272","K273"
"CG_SB_NB8768284",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9369817",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9369818",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9369819",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9369820",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9369821",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9383375",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9383376",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9383377",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9383567",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"WSSS_A_KID9383568",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"WSSS_A_KID9383569",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"WSSS_A_KID9383572",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WSSS_A_KID9383573",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"WSSS_A_KID9383574",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"WSSS_A_KID9383577",0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"WSSS_A_KID9383578",0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"WSSS_A_KID10063743",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"WSSS_A_KID10063744",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"WSSS_A_KID10063745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"WSSS_A_KID10063746",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"WSSS_A_KID10063749",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"WSSS_A_KID10063750",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
